 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
9,BRISK,0.031742,2672,249,BRIEF,0.000719,145,0.000409

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,BRISK,0.033654,2757,254,ORB,0.004309,
1,BRISK,0.033318,2777,274,ORB,0.004019,92,0.000466
2,BRISK,0.032129,2741,276,ORB,0.003751,102,0.000466
3,BRISK,0.032371,2735,275,ORB,0.003790,85,0.000434
4,BRISK,0.032884,2757,293,ORB,0.003901,94,0.000472
5,BRISK,0.032724,2695,275,ORB,0.003916,82,0.000510
6,BRISK,0.032630,2715,289,ORB,0.003853,112,0.000448
7,BRISK,0.033251,2628,268,ORB,0.003906,112,0.000576
8,BRISK,0.032350,2639,258,ORB,0.003835,114,0.000432
9,BRISK,0.032288,2672,249,ORB,0.004225,118,0.000450

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,BRISK,0.032150,2757,254,FREAK,0.031039,
1,BRISK,0.031121,2777,274,FREAK,0.031015,108,0.000598
2,BRISK,0.036096,2741,276,FREAK,0.033681,119,0.000710
3,BRISK,0.032508,2735,275,FREAK,0.032635,114,0.000977
4,BRISK,0.032634,2757,293,FREAK,0.029697,114,0.000674
5,BRISK,0.030559,2695,275,FREAK,0.029486,100,0.000641
6,BRISK,0.032156,2715,289,FREAK,0.030246,129,0.000815
7,BRISK,0.031118,2628,268,FREAK,0.029276,135,0.000637
8,BRISK,0.030532,2639,258,FREAK,0.029444,124,0.000552
9,BRISK,0.031051,2672,249,FREAK,0.029812,129,0.000536

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,BRISK,0.034820,2757,254,AKAZE, 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,BRISK,0.034355,2757,254,SIFT,0.030337,
1,BRISK,0.035087,2777,274,SIFT,0.025810,177,0.000513
2,BRISK,0.033435,2741,276,SIFT,0.026850,187,0.000504
3,BRISK,0.041275,2735,275,SIFT,0.022859,171,0.002062
4,BRISK,0.033023,2757,293,SIFT,0.026421,177,0.000460
5,BRISK,0.032777,2695,275,SIFT,0.025574,168,0.000679
6,BRISK,0.032935,2715,289,SIFT,0.026936,190,0.000557
7,BRISK,0.032433,2628,268,SIFT,0.026134,193,0.000545
8,BRISK,0.034794,2639,258,SIFT,0.027588,173,0.000473
9,BRISK,0.033306,2672,249,SIFT,0.026470,181,0.000466

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,ORB,0.006460,500,87,BRIEF,0.000908,
1,ORB,0.006667,500,101,BRIEF,0.000380,35,0.000119
2,ORB,0.008319,500,105,BRIEF,0.000509,37,0.000118
3,ORB,0.007100,500,110,BRIEF,0.000523,37,0.000328
4,ORB,0.005599,500,106,BRIEF,0.000455,53,0.000233
5,ORB,0.006274,500,121,BRIEF,0.000616,42,0.000240
6,ORB,0.006484,500,128,BRIEF,0.000503,57,0.000175
7,ORB,0.007570,500,120,BRIEF,0.001336,57,0.000195
8,ORB,0.006140,500,117,BRIEF,0.000433,59,0.000245
9,ORB,0.006310,500,117,BRIEF,0.000446,58,0.000178

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,ORB,0.007062,500,87,ORB,0.004407,
1,ORB,0.006588,500,101,ORB,0.004221,37,0.000265
2,ORB,0.008080,500,105,ORB,0.005955,56,0.000125
3,ORB,0.005814,500,110,ORB,0.004226,49,0.000159
4,ORB,0.005851,500,106,ORB,0.004047,52,0.000206
5,ORB,0.006633,500,121,ORB,0.004024,56,0.000125
6,ORB,0.006162,500,128,ORB,0.005355,65,0.000155
7,ORB,0.005319,500,120,ORB,0.004221,69,0.000244
